RasPi2,-56,28125
RasPi1,-51,28579
RasPi2,-53,29406
RasPi3,-46,30010
RasPi2,-55,30695
RasPi1,-53,31143
RasPi3,-49,31295
RasPi2,-59,31968
RasPi1,-50,32424
RasPi2,-51,33257
RasPi1,-52,33700
RasPi3,-45,33853
RasPi2,-52,34538
RasPi1,-55,34982
RasPi1,-53,36265
RasPi3,-47,36417
RasPi1,-50,37547
RasPi3,-47,37698
RasPi2,-51,38379
RasPi1,-61,38832
RasPi3,-48,38983
RasPi2,-64,39664
RasPi1,-55,40108
RasPi3,-50,40269
RasPi2,-56,40950
RasPi1,-56,41395
RasPi3,-58,41546
RasPi2,-52,42232
RasPi1,-68,42673
RasPi3,-53,42825
RasPi1,-57,43959
RasPi3,-54,44111
RasPi1,-53,45236
RasPi2,-55,46069
RasPi1,-51,46522
RasPi2,-51,47364
RasPi2,-45,48648
RasPi1,-43,49081
RasPi2,-51,49929
RasPi1,-52,50360
RasPi2,-56,51211
RasPi1,-39,51642
RasPi3,-59,51806
RasPi1,-43,52928
RasPi2,-46,53770
RasPi2,-54,55053
RasPi1,-47,55495
RasPi3,-61,55651
RasPi2,-60,56333
RasPi1,-44,56775
RasPi3,-54,56926
RasPi2,-43,57620
RasPi2,-44,58903
RasPi2,-49,60176
RasPi1,-62,60618
RasPi3,-56,60770
RasPi2,-50,61463
RasPi1,-37,61904
RasPi1,-33,63175
RasPi3,-63,63331
RasPi2,-55,64024
RasPi1,-39,64457
RasPi3,-70,64609
RasPi2,-61,65312
RasPi1,-40,65743
RasPi3,-59,65894
RasPi1,-27,67025
RasPi3,-62,68458
RasPi2,-51,69149
RasPi1,-21,69580
RasPi3,-84,69741
RasPi3,-67,71023
RasPi1,-30,72145
RasPi3,-65,72306
RasPi1,-32,73437
RasPi2,-51,74278
RasPi3,-67,74876
RasPi1,-27,76003
RasPi1,-31,77275
RasPi1,-39,78557
RasPi3,-51,78718
RasPi2,-44,79410
RasPi1,-52,79843
RasPi3,-47,80004
RasPi2,-48,80687
RasPi1,-50,81129
RasPi3,-54,81290
RasPi2,-40,81974
RasPi1,-49,82412
RasPi2,-40,83251
RasPi1,-55,83685
RasPi3,-49,83856
RasPi2,-47,84539
RasPi1,-50,84974
RasPi2,-46,85823
RasPi1,-55,86259
RasPi3,-48,86411
RasPi2,-53,87103
RasPi3,-35,88979
RasPi2,-64,90942
RasPi1,-61,91388
RasPi1,-80,92674
RasPi2,-64,93512
RasPi3,-34,94107
RasPi2,-53,94791
RasPi1,-64,95232
RasPi3,-31,95383
RasPi2,-53,96067
RasPi1,-64,96512
RasPi2,-70,97350
RasPi3,-45,97946
RasPi1,-71,99078
RasPi3,-34,99231
RasPi1,-73,101644
RasPi3,-46,101785
RasPi1,-70,102922
RasPi3,-50,103068
RasPi2,-55,103760
RasPi1,-61,104201
RasPi2,-52,105042
RasPi2,-59,106320
RasPi3,-39,106919
RasPi2,-53,107601
RasPi1,-50,108048
RasPi2,-54,108883
RasPi1,-55,109324
RasPi3,-49,109487
RasPi2,-61,110164
RasPi1,-65,110606
RasPi3,-42,110759
RasPi2,-57,111441
RasPi1,-58,111893
RasPi3,-49,112044
RasPi2,-43,112727
RasPi1,-49,113173
RasPi3,-48,113329
RasPi2,-41,114006
RasPi1,-56,114447
RasPi3,-44,114609
RasPi1,-62,115736
RasPi3,-59,115887
RasPi2,-30,116571
RasPi1,-57,117015
RasPi2,-24,117856
RasPi1,-63,118297
RasPi3,-56,118459
RasPi2,-19,119130
RasPi1,-48,119581
RasPi3,-47,119734
RasPi3,-51,121016
RasPi2,-24,121697
RasPi1,-59,122138
RasPi3,-54,122300
RasPi2,-25,122981
RasPi2,-25,124262
RasPi2,-25,125545
RasPi1,-54,125988
RasPi2,-27,126829
RasPi1,-56,127271
RasPi3,-63,127432
RasPi1,-61,128547
RasPi3,-62,128719
RasPi1,-51,129831
RasPi3,-54,129992
RasPi2,-50,130674
RasPi1,-54,131115
RasPi3,-58,131278
RasPi2,-52,131950
RasPi1,-68,132401
RasPi3,-51,132562
RasPi2,-53,133234
RasPi1,-60,133692
RasPi3,-51,133843
RasPi2,-51,134517
RasPi2,-53,135793
RasPi1,-66,136255
RasPi2,-58,137084
RasPi1,-53,137529
RasPi3,-50,137690
RasPi2,-48,138363
RasPi1,-53,138815
RasPi3,-56,138970
RasPi2,-53,139640
RasPi1,-60,141375
RasPi3,-58,141526
RasPi3,-57,142808
RasPi2,-58,143482
RasPi1,-64,143944
RasPi3,-52,144095
RasPi2,-72,144768
RasPi1,-63,145220
RasPi3,-48,145372
RasPi2,-53,146047
RasPi1,-71,146500
RasPi3,-45,146661
RasPi2,-54,147334
RasPi3,-59,147939
RasPi2,-47,148612
RasPi1,-57,149073
RasPi3,-53,149214
RasPi2,-54,149900
RasPi3,-57,150502
RasPi1,-50,152909
RasPi2,-49,153751
RasPi1,-52,154192
RasPi3,-56,154345
RasPi2,-53,155036
RasPi1,-59,155474
RasPi3,-62,155628
RasPi2,-49,156319
RasPi1,-60,156750
RasPi3,-81,156911
RasPi2,-55,157604
RasPi1,-47,158034
RasPi3,-55,158187
RasPi2,-52,158884
RasPi1,-64,159316
RasPi3,-53,159478
RasPi2,-57,161443
RasPi1,-48,161884
RasPi3,-68,162035
RasPi2,-62,162718
RasPi3,-73,163320
RasPi2,-63,164002
RasPi3,-55,164604
RasPi3,-56,165879
RasPi2,-66,166572
RasPi2,-62,167857
RasPi2,-60,169130
RasPi1,-53,169573
RasPi3,-61,169724
RasPi2,-63,170413
RasPi3,-63,171007
RasPi1,-46,172132
RasPi3,-59,172293
RasPi1,-54,173419
RasPi2,-50,174263
RasPi1,-46,174695
RasPi3,-62,174856
RasPi2,-57,175538
RasPi1,-58,175980
RasPi3,-53,176141
RasPi2,-63,176824
RasPi2,-54,178106
RasPi3,-61,178709
RasPi2,-51,180672
RasPi1,-54,181113
RasPi3,-57,181267
RasPi2,-50,181948
RasPi1,-62,182390
RasPi2,-44,183233
RasPi1,-72,183675
RasPi3,-74,183837
RasPi2,-46,184512
RasPi1,-52,184953
RasPi3,-66,185108
RasPi2,-39,185790
RasPi1,-58,186241
RasPi3,-55,186395
RasPi1,-55,187517
RasPi3,-54,187678
RasPi2,-33,188360
RasPi3,-66,188962
RasPi2,-63,189643
RasPi1,-61,190085
RasPi3,-50,190236
RasPi2,-54,192198
RasPi1,-63,193930
RasPi3,-44,194091
RasPi2,-46,194765
RasPi2,-56,196049
RasPi3,-56,196655
RasPi2,-54,197322
RasPi2,-56,198613
RasPi3,-63,199209
RasPi2,-48,199891
RasPi1,-50,200343
RasPi3,-59,200499
RasPi2,-60,201170
RasPi1,-51,201622
RasPi3,-61,201775
RasPi2,-58,202457
RasPi1,-54,202899
RasPi3,-64,203050
RasPi2,-60,203732
RasPi1,-52,204184
RasPi3,-64,204335
RasPi1,-47,205465
RasPi2,-52,206297
RasPi1,-46,206751
RasPi3,-52,206902
RasPi1,-58,209306
RasPi3,-49,209458
RasPi2,-64,210140
RasPi1,-61,210591
RasPi3,-48,210742
RasPi1,-64,211865
RasPi3,-48,212036
RasPi2,-67,212707
RasPi1,-59,213149
RasPi3,-48,213311
RasPi1,-60,214433
RasPi3,-49,214595
RasPi2,-59,215266
RasPi1,-61,215717
RasPi1,-66,217000
RasPi2,-67,217831